Start station,End station,Date,Total duration (m),Total duration (m)_scaled,Same Start-End,Bike Model Encoded,Weather Description,temperature_2m_scaled,apparent_temperature_scaled,wind_speed_10m_scaled,relative_humidity_2m_scaled,Day_of_Month,Day_of_Week,Hour_of_Day,is_Weekend,Time_of_Day,is_Rainy
"Spanish Road, Clapham Junction","Sugden Road, Clapham",2023-08-08 12:00:00,7.0,0.11627906976744187,False,0,Drizzle,0.43434343434343425,0.4804009200999754,0.3489094847775254,0.6902848604613253,8,2,12,0,Afternoon,1
"Coram Street, Bloomsbury","Bonny Street, Camden Town",2023-08-18 16:00:00,8.0,0.13953488372093023,False,1,Cloudy,0.969697037037037,0.9270996145129591,0.655433702462035,0.3402530799957181,18,5,16,0,Afternoon,0
"Sloane Avenue, Knightsbridge","Serpentine Car Park, Hyde Park",2023-08-18 16:00:00,7.0,0.11627906976744187,False,0,Cloudy,0.969697037037037,0.9270996145129591,0.655433702462035,0.3402530799957181,18,5,16,0,Afternoon,0
"Aldersgate Street, Barbican","Graham Street, Angel",2023-08-14 09:00:00,8.0,0.13953488372093023,False,0,Overcast,0.6464646464646466,0.6051493125839398,0.7265338900109678,0.5850524766332516,14,1,9,0,Morning,0
"Wells Street, Fitzrovia","Percival Street, Finsbury",2023-08-29 11:00:00,30.0,0.6511627906976745,False,0,Overcast,0.6161616835016834,0.5605803011256854,0.38801353454760307,0.18049275489776728,29,2,11,0,Morning,0
"Albert Gate, Hyde Park","Exhibition Road Museums 2, South Kensington",2023-08-29 11:00:00,7.0,0.11627906976744187,False,0,Overcast,0.6161616835016834,0.5605803011256854,0.38801353454760307,0.18049275489776728,29,2,11,0,Morning,0
"Bow Church Station, Bow","Wendon Street, Old Ford",2023-08-04 03:00:00,5.0,0.06976744186046512,False,0,Partly Cloudy,0.21885521885521886,0.2881081151414829,0.2798540656882203,0.85585082591456,4,5,3,0,Night,0
"Butler Place, Westminster","Southampton Place, Holborn",2023-08-13 14:00:00,22.0,0.4651162790697675,False,0,Overcast,0.7946127946127948,0.6522272144572914,0.8283498867480338,0.19266903943043,13,7,14,1,Afternoon,0
"Borough High Street, The Borough","Norton Folgate, Liverpool Street",2023-08-05 07:00:00,20.0,0.41860465116279066,False,0,Moderate Drizzle,0.2457912457912459,0.3047634295334894,0.27869834814296496,0.7781375270222791,5,6,7,1,Morning,1
"Page Street, Westminster","Tavistock Street, Covent Garden",2023-08-13 11:00:00,17.0,0.34883720930232553,False,0,Drizzle,0.696969696969697,0.5881082282870775,0.8220003425839268,0.34908988830421117,13,7,11,1,Morning,1
"The Vale, Chelsea","Phene Street, Chelsea",2023-08-08 01:00:00,4.0,0.046511627906976744,False,0,Overcast,0.12121218855218863,0.15232027670886622,0.3214192381204528,0.7341380831249059,8,2,1,0,Night,0
"Lightermans Road, Millwall","Lightermans Road, Millwall",2023-08-19 22:00:00,17.0,0.34883720930232553,True,0,Clear Sky,0.4175084175084174,0.4597347075242952,0.40783449049899906,0.752598558308382,19,6,22,1,Night,0
"Soho Square , Soho","Stainsby Road , Poplar",2023-08-21 19:00:00,38.0,0.8372093023255814,False,0,Clear Sky,0.6296296296296298,0.6456504570516293,0.3843882236741596,0.4877370043213437,21,1,19,0,Evening,0
"Park Road (Baker Street), The Regent's Park","Shouldham Street, Marylebone",2023-08-20 04:00:00,7.0,0.11627906976744187,False,0,Overcast,0.3535353535353536,0.45043411136015715,0.3288858031436,0.9777046375494528,20,7,4,1,Night,0
"Bethnal Green Road, Shoreditch","Dunston Road , Haggerston",2023-08-04 16:00:00,8.0,0.13953488372093023,False,0,Cloudy,0.6161616835016834,0.5710170204917986,0.4717209582124768,0.3333392852304561,4,5,16,0,Afternoon,0
"Timber Lodge, Queen Elizabeth Olympic Park","Podium, Queen Elizabeth Olympic Park",2023-08-04 16:00:00,16.0,0.32558139534883723,False,0,Cloudy,0.6161616835016834,0.5710170204917986,0.4717209582124768,0.3333392852304561,4,5,16,0,Afternoon,0
"Ethelburga Estate, Battersea Park","Allington Street, Victoria",2023-08-10 23:00:00,18.0,0.37209302325581395,False,0,Overcast,0.49831656565656557,0.5629137027235276,0.401382879002591,0.7943629315847193,10,4,23,0,Night,0
"Norton Folgate, Liverpool Street","Whiston Road, Haggerston",2023-08-10 23:00:00,6.0,0.09302325581395349,False,0,Overcast,0.49831656565656557,0.5629137027235276,0.401382879002591,0.7943629315847193,10,4,23,0,Night,0
"Sadlers Sports Centre, Finsbury","Murray Grove , Hoxton",2023-08-27 04:00:00,6.0,0.09302325581395349,False,0,Clear Sky,0.03367003367003374,0.0993557772706341,0.25361677311302583,0.8967021604054041,27,7,4,1,Night,0
"Erin Close, Walham Green","Coomer Place, West Kensington",2023-08-22 15:00:00,3.0,0.023255813953488372,False,0,Clear Sky,0.962962962962963,0.88944334630359,0.5379025235338585,0.12270621213716193,22,2,15,0,Afternoon,0
"Cadogan Close, Victoria Park","Monier Road, Hackney Wick",2023-08-22 15:00:00,3.0,0.023255813953488372,False,0,Clear Sky,0.962962962962963,0.88944334630359,0.5379025235338585,0.12270621213716193,22,2,15,0,Afternoon,0
"Devons Road, Bow","East Village, Queen Elizabeth Olympic Park",2023-08-22 10:00:00,14.0,0.2790697674418605,False,0,Partly Cloudy,0.7441077441077442,0.7021566681790461,0.58722716152443,0.39993017625166394,22,2,10,0,Morning,0
"Cephas Street, Bethnal Green","Burdett Road, Mile End",2023-08-05 21:00:00,12.0,0.23255813953488372,False,0,Overcast,0.24242424242424243,0.15703856115010234,0.794627242722054,0.6789586667395108,5,6,21,1,Night,0
"Shadwell Station, Shadwell","St. John's Wood Church, The Regent's Park",2023-08-11 23:00:00,45.0,1.0,False,0,Overcast,0.40067340067340074,0.47490911580112166,0.35566689570453025,0.8589467007612653,11,5,23,0,Night,0
"Exhibition Road, Knightsbridge","Princes Square, Bayswater",2023-08-03 15:00:00,26.0,0.5581395348837209,False,0,Overcast,0.7373737373737372,0.6538308835426336,0.3802063313347482,0.06675185874637934,3,4,15,0,Afternoon,0
"Braham Street, Aldgate","Somerset House, Strand",2023-08-03 15:00:00,20.0,0.41860465116279066,False,0,Overcast,0.7373737373737372,0.6538308835426336,0.3802063313347482,0.06675185874637934,3,4,15,0,Afternoon,0
"Battersea Park Road, Nine Elms","Austin Road, Battersea Park",2023-08-13 22:00:00,5.0,0.06976744186046512,False,0,Overcast,0.40740740740740744,0.4317859353237152,0.4506080327946616,0.7229803192082377,13,7,22,1,Night,0
"Store Street, Bloomsbury","Seymour Place, Marylebone",2023-08-19 02:00:00,13.0,0.2558139534883721,False,0,Overcast,0.7138047138047139,0.7751504553544455,0.6097468213532172,0.8189813994331482,19,6,2,1,Night,0
"Devons Road, Bow","Westferry Circus, Canary Wharf",2023-08-02 22:00:00,21.0,0.4418604651162791,False,0,Overcast,0.39057245791245787,0.3777524080211175,0.6288811669216364,0.7667397328664202,2,3,22,0,Night,0
"Trebovir Road, Earl's Court","Parson's Green , Parson's Green",2023-08-16 20:00:00,12.0,0.23255813953488372,False,0,Cloudy,0.5151515824915824,0.5167618409693411,0.4106176326591846,0.5109515351230777,16,3,20,0,Evening,0
"Strata, Elephant & Castle","Kennington Cross, Kennington",2023-08-05 18:00:00,7.0,0.11627906976744187,False,0,Drizzle,0.39393939393939403,0.30603818437527225,0.8961251449825779,0.7177232838659614,5,6,18,1,Evening,1
"Craven Street, Strand","Borough Road, Elephant & Castle",2023-08-05 18:00:00,12.0,0.23255813953488372,False,0,Drizzle,0.39393939393939403,0.30603818437527225,0.8961251449825779,0.7177232838659614,5,6,18,1,Evening,1
"Stratford Station, Stratford","Waterloo Road, South Bank",2023-08-08 13:00:00,34.0,0.7441860465116279,False,1,Drizzle,0.4478115151515152,0.43024721180968456,0.6353191414844108,0.714573220105153,8,2,13,0,Afternoon,1
"LSBU (Borough Road), Elephant & Castle","Lambeth Road, Vauxhall",2023-08-27 17:00:00,4.0,0.046511627906976744,False,0,Overcast,0.569023569023569,0.46066006876989235,0.6065780877657616,0.22274623198274124,27,7,17,1,Evening,0
"Pitfield Street North,Hoxton","Hoxton Street, Hoxton",2023-08-04 22:00:00,5.0,0.06976744186046512,False,0,Overcast,0.40740740740740744,0.46255174996633913,0.1854730895494659,0.5528369895304351,4,5,22,0,Night,0
"Bayswater Road, Hyde Park","Golden Square, Soho",2023-08-07 06:00:00,8.0,0.13953488372093023,False,1,Clear Sky,0.11447811447811462,0.16086757779042488,0.3420314046001386,0.8703054078315416,7,1,6,0,Morning,0
"Hop Exchange, The Borough","Hatton Garden, Holborn",2023-08-06 20:00:00,22.0,0.4651162790697675,False,0,Drizzle,0.31313131313131315,0.35686035683857625,0.20349042432300257,0.5573233874467381,6,7,20,1,Evening,1
