date,temperature_2m,relative_humidity_2m,apparent_temperature,weather_code,wind_speed_10m
2023-08-06 21:00:00+00:00,13.6565,80.19921,12.751095,6.9247384,297.8972
2023-08-06 22:00:00+00:00,12.856501,83.372986,11.604494,8.905908,284.03625
2023-08-06 23:00:00+00:00,12.2565,86.42897,10.860836,9.793058,287.1028
2023-08-07 00:00:00+00:00,12.106501,86.41408,10.535298,10.703569,289.6539
2023-08-07 01:00:00+00:00,11.5565,88.7098,10.041397,10.028439,291.03757
2023-08-07 02:00:00+00:00,11.2065,90.181694,9.747777,9.449572,287.74475
2023-08-07 03:00:00+00:00,10.9065,91.6865,9.5131035,8.905908,284.03625
2023-08-07 04:00:00+00:00,10.5565,93.53162,9.235907,8.311245,274.96964
2023-08-07 05:00:00+00:00,10.4565,94.47346,9.045192,9.028754,265.42615
2023-08-07 06:00:00+00:00,11.7565,92.04589,10.275267,11.27553,253.30067
2023-08-07 07:00:00+00:00,13.4565,85.40729,12.031536,12.015589,261.38443
2023-08-07 08:00:00+00:00,15.106501,80.13413,13.846592,12.261158,266.6336
2023-08-07 09:00:00+00:00,16.7565,70.70304,14.947639,15.379206,286.31393
2023-08-07 10:00:00+00:00,17.8565,62.961826,15.926268,16.327497,284.03625
2023-08-07 11:00:00+00:00,18.8565,56.816425,16.859081,18.25026,284.85864
2023-08-07 12:00:00+00:00,19.3565,53.438175,17.631378,16.215992,272.54474
2023-08-07 13:00:00+00:00,20.1065,48.49866,17.7821,18.014393,267.70944
2023-08-07 14:00:00+00:00,19.9065,48.77251,17.014881,17.673029,266.49652
2023-08-07 15:00:00+00:00,20.2565,48.70337,17.475864,17.462784,261.70294
2023-08-07 16:00:00+00:00,20.0565,49.810005,17.183807,18.374111,267.7543
2023-08-07 17:00:00+00:00,19.706501,52.817135,17.282728,16.343367,277.59454
2023-08-07 18:00:00+00:00,18.9065,60.138496,17.249302,13.493999,279.21094
2023-08-07 19:00:00+00:00,17.3065,62.62739,14.961435,16.394829,261.15826
2023-08-07 20:00:00+00:00,15.5065,65.228836,12.980339,15.542662,256.60748
2023-08-07 21:00:00+00:00,14.2565,69.513306,11.772181,14.799459,251.56496
2023-08-07 22:00:00+00:00,13.5065,72.488655,10.860873,15.725037,254.05453
2023-08-07 23:00:00+00:00,13.0065,76.941025,10.577205,14.973576,260.31128
2023-08-08 00:00:00+00:00,12.5065,78.70102,10.539774,11.525623,255.52966
2023-08-08 01:00:00+00:00,11.856501,84.38177,10.124182,10.661107,258.31067
2023-08-08 02:00:00+00:00,11.356501,89.29024,9.912856,9.346143,254.3577
2023-08-08 03:00:00+00:00,10.9565,92.61636,9.621331,8.891344,248.6293
2023-08-08 04:00:00+00:00,10.9565,93.55132,9.546895,9.693296,248.19853
2023-08-08 05:00:00+00:00,11.106501,93.871864,9.568462,10.966713,246.80138
2023-08-08 06:00:00+00:00,12.2065,90.25482,10.838013,10.805998,240.01845
2023-08-08 07:00:00+00:00,13.606501,85.140495,12.156231,12.397806,244.17906
2023-08-08 08:00:00+00:00,14.356501,83.550316,12.927992,13.202726,244.1337
2023-08-08 09:00:00+00:00,15.0065,81.9917,13.770636,12.641076,250.0168
2023-08-08 10:00:00+00:00,15.4065,81.23769,14.284313,12.413477,240.4613
2023-08-08 11:00:00+00:00,16.1065,77.1716,14.556423,15.124284,231.76613
2023-08-08 12:00:00+00:00,16.5065,81.91351,15.923447,11.480557,228.81418
2023-08-08 13:00:00+00:00,16.706501,83.28057,15.036913,20.018072,217.6943
2023-08-08 14:00:00+00:00,17.0065,81.976685,14.89394,23.1774,226.88817
2023-08-08 15:00:00+00:00,17.0565,85.50392,15.512966,21.028437,231.95291
2023-08-08 16:00:00+00:00,17.1065,86.339966,15.879263,19.373219,228.01286
2023-08-08 17:00:00+00:00,17.206501,88.03173,16.29128,18.278645,237.87503
2023-08-08 18:00:00+00:00,17.456501,88.90364,17.031343,15.986593,234.16226
2023-08-08 19:00:00+00:00,17.1565,90.89577,16.87509,15.137133,244.65387
2023-08-08 20:00:00+00:00,16.8565,92.63959,17.114239,11.440978,257.27563
2023-08-08 21:00:00+00:00,16.5065,94.418945,16.934704,10.1376915,276.11542
2023-08-08 22:00:00+00:00,16.2565,95.015854,16.980778,7.7043357,307.40543
2023-08-08 23:00:00+00:00,15.7565,94.69179,16.61765,5.315336,298.30066
2023-08-09 00:00:00+00:00,14.606501,96.81895,15.049612,6.151683,290.55612
2023-08-09 01:00:00+00:00,13.356501,97.10535,13.257616,6.9899354,281.88864
2023-08-09 02:00:00+00:00,12.5565,96.45047,12.215368,6.6185193,292.3802
2023-08-09 03:00:00+00:00,11.8065,95.475945,11.280159,5.95906,295.01685
2023-08-09 04:00:00+00:00,11.8065,92.97262,11.198672,5.692099,304.69522
2023-08-09 05:00:00+00:00,10.7565,93.855446,9.856925,5.904439,307.56866
2023-08-09 06:00:00+00:00,12.106501,89.34984,11.425253,5.5887027,284.93146
2023-08-09 07:00:00+00:00,13.5565,85.417854,13.284254,4.32,270.0
2023-08-09 08:00:00+00:00,15.4065,79.912,15.381845,4.3349743,265.23645
2023-08-09 09:00:00+00:00,17.456501,69.221176,17.153254,5.8048253,277.1249
2023-08-09 10:00:00+00:00,18.8565,61.334873,18.856863,6.379216,286.38962
2023-08-09 11:00:00+00:00,19.956501,57.85088,20.51361,6.725354,285.52417
2023-08-09 12:00:00+00:00,20.6565,58.78984,21.71837,7.628263,250.70985
